index,Customer ID,Recency,Frequency,Monetary,R_score,F_Score,M_Score,RFM_Score,Segment
0,12346.0,325,12,77556.46,2,5,5,255,At Risk
1,12347.0,1,8,4921.53,5,4,5,545,Champion
2,12348.0,74,5,2019.4,3,4,4,344,Loyal Customer
3,12349.0,18,4,4428.69,5,3,5,535,Loyal Customer
4,12350.0,309,1,334.4,2,1,2,212,Lost Customer
5,12351.0,374,1,300.93,2,1,2,212,Lost Customer
6,12352.0,35,10,2849.84,4,5,4,454,Champion
7,12353.0,203,2,406.76,2,2,2,222,Lost Customer
8,12354.0,231,1,1079.4,2,1,3,213,Lost Customer
9,12355.0,213,2,947.61,2,2,3,223,Lost Customer
10,12356.0,22,6,6371.73,4,4,5,445,Champion
11,12357.0,32,3,18287.66,4,3,5,435,Loyal Customer
12,12358.0,1,5,3887.07,5,4,5,545,Champion
13,12359.0,57,10,8873.39,4,5,5,455,Champion
14,12360.0,51,8,4252.89,4,4,5,445,Champion
15,12361.0,286,4,511.25,2,3,2,232,At Risk
16,12362.0,2,11,5356.23,5,5,5,555,Champion
17,12363.0,109,2,552.0,3,2,2,322,Lost Customer
18,12364.0,7,4,1313.1,5,3,4,534,Loyal Customer
19,12365.0,290,2,641.38,2,2,3,223,Lost Customer
20,12366.0,633,1,500.24,1,1,2,112,Lost Customer
21,12367.0,3,1,168.9,5,1,1,511,Potential Loyalist
22,12368.0,627,1,917.6999999999999,1,1,3,113,Lost Customer
23,12369.0,412,3,1791.15,1,3,4,134,At Risk
24,12370.0,50,7,4316.56,4,4,5,445,Champion
25,12371.0,44,5,4067.38,4,4,5,445,Champion
26,12372.0,71,3,1298.04,3,3,4,334,Loyal Customer
27,12373.0,310,3,1127.65,2,3,3,233,At Risk
28,12374.0,24,4,2989.2200000000003,4,3,5,435,Loyal Customer
29,12375.0,10,2,457.5,5,2,2,522,Potential Loyalist
30,12376.0,389,2,503.15,2,2,2,222,Lost Customer
31,12377.0,314,4,3426.32,2,3,5,235,At Risk
32,12378.0,129,2,5416.32,3,2,5,325,Lost Customer
33,12379.0,81,4,1620.22,3,3,4,334,Loyal Customer
34,12380.0,21,11,9676.300000000001,4,5,5,455,Champion
35,12381.0,4,5,1845.31,5,4,4,544,Champion
36,12383.0,184,5,1850.56,3,4,4,344,Loyal Customer
37,12384.0,28,2,585.27,4,2,2,422,Potential Loyalist
38,12385.0,378,1,1938.4,2,1,4,214,Lost Customer
39,12386.0,337,2,401.9,2,2,2,222,Lost Customer
40,12387.0,414,1,143.94,1,1,1,111,Lost Customer
41,12388.0,15,8,3901.11,5,4,5,545,Champion
42,12389.0,402,3,1433.33,2,3,4,234,At Risk
43,12390.0,79,1,549.84,3,1,2,312,Lost Customer
44,12391.0,21,6,2724.84,4,4,4,444,Champion
45,12392.0,590,1,234.75000000000003,1,1,1,111,Lost Customer
46,12393.0,71,6,2399.4500000000003,3,4,4,344,Loyal Customer
47,12394.0,63,2,1272.48,3,2,4,324,Lost Customer
48,12395.0,18,15,4721.17,5,5,5,555,Champion
49,12396.0,673,1,931.43,1,1,3,113,Lost Customer
50,12397.0,35,2,2409.9,4,2,4,424,Potential Loyalist
51,12398.0,45,1,1635.6599999999999,4,1,4,414,Potential Loyalist
52,12399.0,118,7,1962.3,3,4,4,344,Loyal Customer
53,12400.0,413,1,205.25,1,1,1,111,Lost Customer
54,12401.0,302,1,84.3,2,1,1,211,Lost Customer
55,12402.0,322,6,1256.9,2,4,4,244,At Risk
56,12403.0,49,2,1019.36,4,2,3,423,Potential Loyalist
57,12404.0,681,1,63.24,1,1,1,111,Lost Customer
58,12405.0,148,1,1710.39,3,1,4,314,Lost Customer
59,12406.0,21,5,6390.36,4,4,5,445,Champion
60,12407.0,49,5,1708.1200000000001,4,4,4,444,Champion
61,12408.0,32,8,4340.7699999999995,4,4,5,445,Champion
62,12409.0,78,7,23419.29,3,4,5,345,Loyal Customer
63,12410.0,308,3,1013.71,2,3,3,233,At Risk
64,12411.0,409,1,346.9,2,1,2,212,Lost Customer
65,12412.0,74,6,2596.93,3,4,4,344,Loyal Customer
